item,itemLabel,position,positionLabel,start,psid
Q106301209,Graziella Marok-Wachter,Q108215777,Minister of Infrastructure and Justice,2021-03-25,Q106301209-8c4a3522-461a-c608-c313-3a2e61a3076e
Q106517978,Manuel Frick,Q108215701,Minister of Social Affairs and Culture,2021-03-25,Q106517978-ee393808-4ef4-c73a-0498-d2559015813e
Q30882650,Daniel Risch,Q58869896,Head of Government of Liechtenstein,2021-03-25,Q30882650-dfdf4491-41e7-9065-a8c4-4aa13c2cef1d
Q30883975,Dominique Hasler,Q108215715,"Minister of Foreign Affairs, Education and Sport",2017-03-30,Q30883975-705C797C-844C-40C5-BD8E-DE1115446B7F
Q65934265,Sabine Monauni,Q108216116,Deputy Prime Minister of Liechtenstein,2021-03-25,Q65934265-6DE3C650-7CA8-4F8B-A31D-61C30A956E1C
